case_id,core_status,lineage_status,evidence_state,multiplicity_status,confirmation_status,max_authority,required_action,reason
CA-001,"FAIL or action-relevant NOT_EVALUABLE",complete,any,any,any,T0,DIAGNOSTIC_ONLY,"Numerical evidence cannot repair structural ineligibility"
CA-002,PASS,incomplete,D only,not applicable,none,T1,EXPLORATORY,"Unreconstructible search cannot support qualification"
CA-003,PASS,complete,D only,recorded,none,T1,EXPLORATORY,"Development evidence is selection evidence"
CA-004,PASS,complete,Q_ACTIVE,valid anytime or alpha-spending controller,independent qualification passes,T2,QUALIFY,"Repeated qualification is allowed only under registered sequential validity"
CA-005,PASS,complete,Q_ACTIVE,ordinary fixed-sample p-values after adaptive stopping,apparent pass,T1,DOWNGRADE,"Optional stopping invalidates formal qualification"
CA-006,PASS,complete,C_BATCH_FROZEN,"one final claim; alpha=0.05",fresh one-shot C passes,T3,CONFIRM,"Arbitrary registered D search is absorbed by one untouched final test"
CA-007,PASS,complete,C_BATCH_FROZEN,"multiple claims; valid FWER controller",fresh atomic C batch passes,T3,CONFIRM,"Claim multiplicity is controlled at final access"
CA-008,PASS,complete,C_BATCH_FROZEN,"multiple claims; unadjusted tests",apparent pass,T2,DOWNGRADE,"Uncontrolled final claim family blocks confirmatory language"
CA-009,PASS,complete,CONTAMINATED,any,"apparent C pass; independent valid Q may still exist","T2_IF_INDEPENDENT_VALID_Q_ELSE_T1",DOWNGRADE,"Contamination prevents T3 but does not erase authority from a separate valid qualification pool"
CA-010,PASS,complete,C_RELEASED,valid,"C used to select route and estimate it without selective/simultaneous procedure",T2,DOWNGRADE,"Selection and estimation used the same confirmation feedback"
CA-011,PASS,complete,C_RELEASED,valid,"fresh C estimate passes null but not registered minimum effect",T2,DOWNGRADE,"Statistical detection does not establish practical claim"
CA-012,PASS,complete,C_RELEASED,valid,"fresh C passes all frozen conditions",T3,CONFIRM,"Structural and numerical authority both satisfied"
CA-013,PASS,complete,R pool under new freeze,valid,"independent replication passes",T4,CONFIRM,"External or new-identity replication completed"
CA-014,PASS,complete,"same data analyzed by multiple agents",globally accounted,"agents agree",T1,EXPLORATORY,"Agent agreement is not independent evidence"
CA-015,PASS,complete,"duplicated/aliased evidence",invalid identity count,apparent pass,T0,DIAGNOSTIC_ONLY,"Copying evidence cannot increase support"
CA-016,PASS,complete,C_CONSUMED,valid,"post-result subgroup or endpoint substitution",T1,EXPLORATORY,"Post-feedback reformulation requires new evidence"
CA-017,PASS,complete,C_BATCH_FROZEN,valid,"terminal missingness violates frozen completion criterion",T2,DOWNGRADE,"Operational incompleteness blocks confirmatory arm-level inference"
