case_id,risk_regime,kind,authority,expected_authority,action,expected_action,core_failures,expected_core_failures,triggered_rules,expected_triggered_rules,expectation_match
T00_BASELINE_VALID_CONFIRMATION,R0,CONTROL,T3_CONFIRMATORY,T3_CONFIRMATORY,CONFIRM,CONFIRM,,,,,1
T01_R0_HIGH_DEVELOPMENT_SEARCH,R0,CONTROL,T3_CONFIRMATORY,T3_CONFIRMATORY,CONFIRM,CONFIRM,,,,,1
T02_R1_OPTIONAL_STOPPING_FIXED_P,R1,RISK,T1_EXPLORATORY,T1_EXPLORATORY,DOWNGRADE,DOWNGRADE,,,RA-017,RA-017,1
T03_R1_VALID_GLOBAL_QUERY_CONTROL,R1,CONTROL,T2_QUALIFIED,T2_QUALIFIED,QUALIFY,QUALIFY,,,,,1
T04_R1_QUERY_BUDGET_EXCEEDED,R1,RISK,T1_EXPLORATORY,T1_EXPLORATORY,DOWNGRADE,DOWNGRADE,,,RA-010,RA-010,1
T05_R1_UNREGISTERED_FEEDBACK,R1,RISK,T1_EXPLORATORY,T1_EXPLORATORY,DOWNGRADE,DOWNGRADE,,,RA-011,RA-011,1
T06_R2_GLOBAL_MULTIAGENT_LEDGER,R2,CONTROL,T2_QUALIFIED,T2_QUALIFIED,QUALIFY,QUALIFY,,,,,1
T07_R2_PER_AGENT_LEDGER_RESET,R2,RISK,T1_EXPLORATORY,T1_EXPLORATORY,DOWNGRADE,DOWNGRADE,,,RA-004,RA-004,1
T08_R2_AGENT_CONSENSUS_AS_REPLICATION,R2,RISK,T2_QUALIFIED,T2_QUALIFIED,QUALIFY,QUALIFY,,,RA-006,RA-006,1
T09_R3_HOLM_CONTROLLED_FINAL_FAMILY,R3,CONTROL,T3_CONFIRMATORY,T3_CONFIRMATORY,CONFIRM,CONFIRM,,,,,1
T10_R3_UNADJUSTED_FINAL_FAMILY,R3,RISK,T2_QUALIFIED,T2_QUALIFIED,QUALIFY,QUALIFY,,,RA-016,RA-016,1
T11_R3_POSTFEEDBACK_SEMANTIC_RESET,R3,RISK,T1_EXPLORATORY,T1_EXPLORATORY,DOWNGRADE,DOWNGRADE,,,RA-008,RA-008,1
T12_R4_ALIASED_EVIDENCE,R4,RISK,T0_DIAGNOSTIC,T0_DIAGNOSTIC,DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY,G2,G2,RA-005|RA-019,RA-005|RA-019,1
