failure_id,observed_or_design_fact,why_it_matters,v1_1_response,forbidden_overinterpretation
FM-001,"Full Core did not outperform strong-simple governance; the frozen high-budget point estimate was unfavorable","Structural eligibility did not guarantee numerical replication","Separate structural qualification from numerical evidence authority and require both","Do not claim the old Full Core already controlled agentic winner selection"
FM-002,"Nearly all Full-Core G0-G6 results passed and only one episode abstained per provider arm","The benchmark rarely activated structural hard gates while numerical winner risk remained","Add a distinct numerical authority layer rather than changing G0-G6 semantics","Do not relabel numerical disappointment as a Core gate failure"
FM-003,"A one-shot untouched holdout was a strong comparator","A genuinely untouched final test already absorbs arbitrary development search for one frozen claim","Encode a one-shot sufficiency rule and test v1.1 only where reuse/multiple claims/structural mismatch creates additional risk","Do not penalize development search merely to make RIEC appear superior"
FM-004,"Qwen did not show monotonic unsupported-claim inflation across search budgets","Search volume alone was not a provider-invariant causal driver in the frozen campaign","Manipulate and audit protected-evidence reuse, claim-family multiplicity and feedback, not budget alone","Do not claim a universal monotonic search-inflation law"
FM-005,"DeepSeek left 30/144 episodes incomplete","Provider failures can create informative missingness and invalidate replication","Freeze terminal-status rules, use intention-to-run denominators and require completion-validity criteria","Do not treat completed DeepSeek episodes as confirmatory provider evidence"
FM-006,"The same data were searched by different agents but agent identity was not independent evidence","Multiple agents can multiply search without adding independent observations","Use one campaign-wide evidence and search ledger across agents/providers/prompts","Do not count model agreement as data replication"
FM-007,"Holdout-only reduced unsupported claims but sometimes false-blocked true claims","Maximum blocking is not automatically optimal governance","Report false claims, false blocking, coverage, regret and evidence cost separately; use a preregistered utility only as secondary","Do not hide safety-coverage trade-offs in one favorable aggregate score"
FM-008,"Structurally admissible routes could still be numerical winners that failed lockbox replication","A route can pass identity/estimand/deployment checks yet remain selected by noise","Final effect authority must come from fresh confirmation evidence, not the selected development estimate","Do not promote a development winner's effect size into a confirmatory claim"
FM-009,"Provider/model behavior differed materially","Agent policy is part of the search process and may alter both missingness and claim selection","Replicate the same frozen environment across independently sealed provider arms and prohibit outcome-driven pooling","Do not generalize one economy configuration to a model family"

